Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-327.32962,19.447157,-302.24646,-349.63922,1000.0,-346.3274,21.766924,-315.45453,-376.21838,1000.0,-0.058221153914928436,20.25974464416504,210000,59.34285092353821,,41
-306.7494,30.456638,-264.54126,-335.28754,1000.0,-338.32837,29.784168,-284.18976,-370.17566,1000.0,-0.08237289637327194,17.141374588012695,215000,59.886589765548706,,42
-283.65723,36.154213,-251.90399,-334.2396,1000.0,-331.39722,39.646576,-299.08286,-409.094,1000.0,-0.10369272530078888,17.516550064086914,220000,60.42343592643738,,43
-325.2539,38.654697,-280.38336,-374.7309,1000.0,-311.7513,47.18822,-249.57034,-375.88385,1000.0,-0.08715906739234924,13.739194869995117,225000,60.9662446975708,,44
-327.5566,4.5282674,-321.1527,-330.77472,1000.0,-293.17734,40.208145,-252.34619,-369.92142,1000.0,-0.05643420293927193,12.16186809539795,230000,61.511528968811035,,45
-322.05862,6.0657487,-313.51923,-327.0347,1000.0,-346.56924,57.03453,-291.6073,-444.7771,1000.0,-0.0829327255487442,22.009811401367188,235000,62.049724817276,,46
-327.0344,44.1695,-274.0207,-382.15204,1000.0,-330.39374,51.790092,-276.53775,-397.30035,1000.0,-0.10336186736822128,15.274026870727539,240000,62.58574390411377,,47
-333.15186,38.646976,-278.53214,-362.16418,1000.0,-304.28653,42.893772,-222.45755,-347.4519,1000.0,-0.10033607482910156,9.258382797241211,245000,63.129053831100464,,48
-269.0156,21.121485,-241.85852,-293.36658,1000.0,-302.41,26.586294,-262.39175,-336.87054,1000.0,-0.05563823878765106,16.076589584350586,250000,63.67426681518555,,49
-268.65198,8.349341,-256.8949,-275.47678,1000.0,-255.81714,29.13754,-214.74161,-291.71387,1000.0,-0.09264188259840012,12.67067813873291,255000,64.21926975250244,,50
-277.90024,62.58576,-190.51855,-333.7894,1000.0,-225.72412,58.645992,-122.15448,-300.1338,1000.0,-0.07501083612442017,16.521211624145508,260000,71.24385094642639,,51
-235.67238,30.013147,-195.05057,-266.6409,1000.0,-255.59517,52.606625,-196.35495,-353.35794,1000.0,-0.10755375772714615,16.922304153442383,265000,71.7771110534668,,52
-177.55229,59.700302,-107.10425,-253.07512,1000.0,-222.77058,42.05271,-164.51257,-279.2909,1000.0,-0.07495217025279999,21.55946159362793,270000,72.31841206550598,,53
-204.7293,64.70986,-114.1319,-261.21426,1000.0,-252.92471,42.574047,-203.44447,-327.72037,1000.0,-0.10817280411720276,23.758197784423828,275000,72.86189007759094,,54
-228.15953,10.443081,-213.85237,-238.4858,1000.0,-221.6363,54.932198,-135.41937,-284.25085,1000.0,-0.06642096489667892,20.58897590637207,280000,73.39467096328735,,55
-252.18184,35.478348,-216.507,-300.5733,1000.0,-239.99434,29.852627,-192.86624,-272.36816,1000.0,-0.0955839455127716,25.608747482299805,285000,73.93168306350708,,56
-242.44624,41.798244,-196.30222,-297.51337,1000.0,-244.64743,65.45765,-161.2779,-328.21323,1000.0,-0.09935662895441055,17.550992965698242,290000,74.47036385536194,,57
-224.89575,21.454765,-200.17003,-252.48817,1000.0,-228.73843,36.381203,-167.72653,-266.73456,1000.0,-0.06146717444062233,19.663450241088867,295000,75.01266503334045,,58
-231.02351,32.305634,-206.31001,-276.65808,1000.0,-244.6121,24.837006,-203.35481,-273.5834,1000.0,-0.0843723714351654,13.30916690826416,300000,75.56146883964539,,59
-193.74217,13.972152,-175.21742,-208.9591,1000.0,-216.15567,58.445774,-131.00226,-312.7451,1000.0,-0.10087998956441879,15.588196754455566,305000,76.09792685508728,,60
-198.59576,16.414026,-186.953,-221.80867,1000.0,-212.86148,35.037464,-172.0469,-270.46103,1000.0,-0.09924125671386719,9.628530502319336,310000,83.17324376106262,,61
-237.4814,71.072464,-182.32458,-337.8282,1000.0,-184.6529,45.059322,-143.2049,-267.05414,1000.0,-0.08551272004842758,8.939769744873047,315000,83.7228729724884,,62
-197.62915,27.128391,-168.83887,-233.9848,1000.0,-178.3071,45.78213,-100.66914,-239.66185,1000.0,-0.056511711329221725,9.515863418579102,320000,84.2774510383606,,63
-150.34364,10.325564,-136.32268,-160.88757,1000.0,-170.5782,37.131313,-123.04637,-216.79376,1000.0,-0.0910293459892273,10.152911186218262,325000,84.81564092636108,,64
-143.60912,3.5196526,-139.03491,-147.59605,1000.0,-156.37431,34.742245,-116.4835,-197.78394,1000.0,-0.10791812837123871,11.441469192504883,330000,85.35615086555481,,65
-119.23348,84.98793,0.95069885,-180.44083,1000.0,-149.29924,34.653305,-100.54428,-185.27594,1000.0,-0.08331148326396942,10.651670455932617,335000,85.89441680908203,,66
-115.30001,11.986612,-98.60105,-126.17473,1000.0,-141.27922,67.48805,-77.147,-270.56897,1000.0,-0.06599831581115723,13.580349922180176,340000,86.43831491470337,,67
-194.02635,92.045784,-75.17305,-299.43192,1000.0,-109.31593,43.400867,-38.807503,-154.96799,1000.0,-0.11207371950149536,17.991552352905273,345000,86.97826600074768,,68
